Destination,Departure Date,Airline,Price (USD) ,Number of Stops,Travel Time,Available Seats,Travel Time Str
London,2025-07-01,TP,429.03,1,0 days 07:00:00,9,07:00
London,2025-07-01,UX,430.02,1,0 days 07:05:00,5,07:05
London,2025-07-01,UX,430.02,1,0 days 07:15:00,9,07:15
London,2025-07-01,UX,436.87,1,0 days 07:05:00,9,07:05
London,2025-07-01,UX,436.87,1,0 days 07:15:00,9,07:15
London,2025-07-01,AC,448.3,1,0 days 01:36:00,9,01:36
London,2025-07-01,AC,454.04,1,0 days 01:46:00,9,01:46
London,2025-07-01,AC,454.04,1,0 days 01:45:00,9,01:45
London,2025-07-01,VS,465.38,1,0 days 07:15:00,9,07:15
London,2025-07-01,VS,465.38,1,0 days 07:30:00,9,07:30
London,2025-07-01,UA,468.41,1,0 days 08:00:00,6,08:00
London,2025-07-01,UA,470.83,1,0 days 07:35:00,2,07:35
London,2025-07-01,KL,470.99,0,0 days 07:20:00,9,07:20
London,2025-07-01,UA,471.95,1,0 days 07:30:00,9,07:30
London,2025-07-01,AZ,473.4,1,0 days 08:35:00,9,08:35
London,2025-07-01,VS,475.73,1,0 days 07:20:00,9,07:20
London,2025-07-01,VS,475.73,1,0 days 07:25:00,9,07:25
London,2025-07-01,UA,479.6,1,0 days 07:55:00,9,07:55
London,2025-07-01,AZ,487.68,1,0 days 08:35:00,9,08:35
London,2025-07-01,AZ,487.68,1,0 days 08:40:00,9,08:40
London,2025-07-01,VS,490.01,1,0 days 07:20:00,9,07:20
London,2025-07-01,AV,491.57,1,0 days 05:50:00,9,05:50
London,2025-07-01,AV,491.57,1,0 days 05:45:00,9,05:45
London,2025-07-01,TP,509.82,2,0 days 01:20:00,4,01:20
London,2025-07-01,S4,520.18,2,0 days 05:50:00,6,05:50
London,2025-07-01,UA,527.83,1,0 days 07:55:00,3,07:55
London,2025-07-01,UA,527.83,1,0 days 07:35:00,2,07:35
London,2025-07-01,AF,528.88,1,0 days 07:15:00,9,07:15
London,2025-07-01,AF,528.88,1,0 days 07:35:00,9,07:35
London,2025-07-01,AF,528.88,1,0 days 07:25:00,9,07:25
London,2025-07-01,AF,528.88,1,0 days 07:30:00,9,07:30
London,2025-07-01,UA,533.8,1,0 days 07:50:00,9,07:50
London,2025-07-01,AS,535.57,0,0 days 06:55:00,7,06:55
London,2025-07-01,AS,535.57,0,0 days 07:00:00,7,07:00
London,2025-07-01,AS,535.57,0,0 days 07:05:00,7,07:05
London,2025-07-01,AS,535.57,0,0 days 07:10:00,7,07:10
London,2025-07-01,AS,535.57,0,0 days 07:15:00,7,07:15
London,2025-07-01,AS,535.57,0,0 days 07:10:00,3,07:10
London,2025-07-01,AS,535.57,0,0 days 07:15:00,3,07:15
London,2025-07-01,KL,539.23,1,0 days 07:20:00,9,07:20
London,2025-07-01,KL,539.23,1,0 days 07:40:00,9,07:40
London,2025-07-01,KL,539.23,1,0 days 07:25:00,9,07:25
London,2025-07-01,IB,547.49,0,0 days 07:10:00,9,07:10
London,2025-07-01,IB,547.49,0,0 days 07:15:00,7,07:15
London,2025-07-01,AY,552.8,0,0 days 07:05:00,9,07:05
London,2025-07-01,KL,553.51,1,0 days 07:40:00,6,07:40
London,2025-07-01,KL,553.51,1,0 days 07:20:00,9,07:20
London,2025-07-01,KL,553.51,1,0 days 07:25:00,9,07:25
London,2025-07-01,IB,559.16,1,0 days 07:10:00,7,07:10
London,2025-07-01,6X,563.67,0,0 days 03:58:00,9,03:58
London,2025-07-01,6X,563.67,0,0 days 04:00:00,9,04:00
London,2025-07-01,6X,563.67,0,0 days 05:50:00,9,05:50
London,2025-07-01,6X,563.67,0,0 days 06:45:00,9,06:45
London,2025-07-01,6X,563.67,0,0 days 07:05:00,9,07:05
London,2025-07-01,6X,563.67,0,0 days 08:00:00,9,08:00
London,2025-07-01,LX,611.76,1,0 days 07:55:00,9,07:55
London,2025-07-01,LH,614.85,1,0 days 08:00:00,9,08:00
London,2025-07-01,LH,617.27,1,0 days 05:00:00,9,05:00
London,2025-07-01,LH,617.27,1,0 days 07:35:00,9,07:35
London,2025-07-01,LH,617.27,1,0 days 07:55:00,9,07:55
London,2025-07-01,SN,618.39,1,0 days 07:30:00,9,07:30
London,2025-07-01,LX,623.24,1,0 days 07:50:00,9,07:50
London,2025-07-01,LX,626.04,1,0 days 07:55:00,9,07:55
London,2025-07-01,LH,631.55,1,0 days 05:00:00,9,05:00
London,2025-07-01,LH,631.55,1,0 days 07:35:00,9,07:35
London,2025-07-01,LH,631.55,1,0 days 07:55:00,9,07:55
London,2025-07-01,AF,655.25,1,0 days 07:40:00,1,07:40
London,2025-07-01,UA,669.32,1,0 days 07:55:00,4,07:55
London,2025-07-01,EI,711.01,1,0 days 06:26:00,7,06:26
London,2025-07-01,AT,711.9,1,0 days 07:05:00,9,07:05
London,2025-07-01,VS,807.49,0,0 days 07:30:00,2,07:30
London,2025-07-01,JU,827.0,1,0 days 08:50:00,7,08:50
London,2025-07-01,AF,829.99,1,0 days 02:23:00,3,02:23
London,2025-07-01,UA,896.04,1,0 days 01:46:00,2,01:46
London,2025-07-01,VS,937.49,0,0 days 06:50:00,4,06:50
London,2025-07-01,EI,954.96,1,0 days 06:30:00,4,06:30
London,2025-07-01,VS,976.49,0,0 days 07:25:00,1,07:25
London,2025-07-01,AF,1056.88,1,0 days 07:25:00,9,07:25
London,2025-07-01,TP,1069.09,0,0 days 07:31:00,4,07:31
London,2025-07-01,EI,1137.96,1,0 days 06:40:00,9,06:40
London,2025-07-01,VS,1170.49,0,0 days 07:15:00,1,07:15
London,2025-07-01,VS,1170.49,0,0 days 07:20:00,1,07:20
London,2025-07-01,VS,1170.49,1,0 days 01:48:00,5,01:48
London,2025-07-01,IB,1195.16,1,0 days 07:15:00,5,07:15
London,2025-07-01,IB,1251.16,1,0 days 07:15:00,1,07:15
London,2025-07-01,B6,1469.49,1,0 days 01:29:00,7,01:29
London,2025-07-01,B6,1469.49,1,0 days 01:28:00,7,01:28
London,2025-07-01,B6,1469.49,1,0 days 01:35:00,7,01:35
London,2025-07-01,B6,1478.49,0,0 days 07:14:00,7,07:14
London,2025-07-01,B6,1478.49,0,0 days 07:31:00,7,07:31
London,2025-07-01,SK,2526.3,1,0 days 07:40:00,9,07:40
London,2025-07-01,VS,4114.52,0,0 days 07:15:00,6,07:15
Bangalore,2025-07-01,AI,529.81,1,0 days 14:55:00,9,14:55
Bangalore,2025-07-01,AI,555.99,1,0 days 13:40:00,9,13:40
Bangalore,2025-07-01,LH,673.34,2,0 days 08:00:00,4,08:00
Bangalore,2025-07-01,LH,683.36,2,0 days 07:55:00,9,07:55
Bangalore,2025-07-01,LH,683.54,2,0 days 05:00:00,4,05:00
Bangalore,2025-07-01,LH,688.91,1,0 days 07:55:00,9,07:55
Bangalore,2025-07-01,LH,688.91,1,0 days 05:00:00,9,05:00
Bangalore,2025-07-01,LH,692.02,2,0 days 07:55:00,4,07:55
Bangalore,2025-07-01,LH,692.02,2,0 days 05:00:00,4,05:00
Bangalore,2025-07-01,LH,692.02,2,0 days 07:55:00,9,07:55
Bangalore,2025-07-01,LH,692.2,2,0 days 05:00:00,9,05:00
Bangalore,2025-07-01,LH,692.2,2,0 days 07:35:00,9,07:35
Bangalore,2025-07-01,LH,692.2,2,0 days 07:55:00,4,07:55
Bangalore,2025-07-01,LH,692.2,2,0 days 05:00:00,4,05:00
Bangalore,2025-07-01,LH,696.19,2,0 days 08:00:00,9,08:00
Bangalore,2025-07-01,KL,698.96,1,0 days 07:25:00,9,07:25
Bangalore,2025-07-01,KL,699.08,2,0 days 01:33:00,8,01:33
Bangalore,2025-07-01,LH,712.31,2,0 days 05:00:00,4,05:00
Bangalore,2025-07-01,EY,833.37,1,0 days 12:55:00,9,12:55
Bangalore,2025-07-01,QR,947.52,1,0 days 12:25:00,9,12:25
Bangalore,2025-07-01,QR,949.78,1,0 days 12:20:00,9,12:20
Bangalore,2025-07-01,EK,977.17,1,0 days 12:45:00,9,12:45
Bangalore,2025-07-01,EK,977.17,1,0 days 16:00:00,9,16:00
Bangalore,2025-07-01,CX,999.7,1,0 days 15:55:00,9,15:55
Bangalore,2025-07-01,CX,999.7,1,0 days 15:50:00,9,15:50
Bangalore,2025-07-01,EK,1002.86,2,0 days 07:55:00,9,07:55
Bangalore,2025-07-01,QR,1098.94,2,0 days 01:29:00,9,01:29
Bangalore,2025-07-01,KL,1119.35,2,0 days 07:25:00,9,07:25
Bangalore,2025-07-01,B6,1145.77,1,0 days 12:20:00,7,12:20
Bangalore,2025-07-01,B6,1148.03,1,0 days 12:15:00,7,12:15
Bangalore,2025-07-01,KL,1209.86,2,0 days 07:25:00,9,07:25
Bangalore,2025-07-01,AF,1338.36,1,0 days 07:35:00,9,07:35
Bangalore,2025-07-01,TK,1345.31,2,0 days 10:05:00,4,10:05
Bangalore,2025-07-01,AF,1461.53,2,0 days 06:50:00,6,06:50
Bangalore,2025-07-01,AF,1607.65,2,0 days 07:35:00,9,07:35
Bangalore,2025-07-01,TK,1697.31,2,0 days 10:05:00,9,10:05
Bangalore,2025-07-01,TK,1697.31,2,0 days 09:40:00,9,09:40
Bangalore,2025-07-01,JL,1783.26,1,0 days 14:00:00,9,14:00
Bangalore,2025-07-01,AF,1793.47,2,0 days 07:35:00,9,07:35
Bangalore,2025-07-01,UA,6012.27,2,0 days 07:35:00,9,07:35
Singapore,2025-07-01,UL,779.91,2,0 days 12:55:00,1,12:55
Singapore,2025-07-01,CX,826.28,1,0 days 15:55:00,2,15:55
Singapore,2025-07-01,B6,843.77,1,0 days 12:15:00,7,12:15
Singapore,2025-07-01,B6,843.77,1,0 days 12:20:00,7,12:20
Singapore,2025-07-01,KE,932.07,2,0 days 02:42:00,5,02:42
Singapore,2025-07-01,KE,936.92,2,0 days 02:23:00,9,02:23
Singapore,2025-07-01,AI,947.14,1,0 days 13:40:00,9,13:40
Singapore,2025-07-01,CX,986.28,1,0 days 15:50:00,4,15:50
Singapore,2025-07-01,QR,1033.17,1,0 days 12:20:00,9,12:20
Singapore,2025-07-01,QR,1033.17,1,0 days 12:25:00,9,12:25
Singapore,2025-07-01,TK,1046.68,1,0 days 09:45:00,9,09:45
Singapore,2025-07-01,TK,1046.68,1,0 days 10:05:00,9,10:05
Singapore,2025-07-01,CX,1072.28,1,0 days 15:40:00,2,15:40
Singapore,2025-07-01,KE,1155.07,2,0 days 02:20:00,4,02:20
Singapore,2025-07-01,KE,1159.92,2,0 days 02:56:00,6,02:56
Singapore,2025-07-01,BR,1169.92,1,0 days 15:50:00,9,15:50
Singapore,2025-07-01,B6,1175.07,2,0 days 01:28:00,1,01:28
Singapore,2025-07-01,B6,1175.07,2,0 days 01:21:00,1,01:21
Singapore,2025-07-01,B6,1190.78,2,0 days 06:00:00,1,06:00
Singapore,2025-07-01,B6,1193.56,2,0 days 01:21:00,1,01:21
Singapore,2025-07-01,AS,1193.56,2,0 days 06:15:00,3,06:15
Singapore,2025-07-01,AS,1193.56,2,0 days 06:19:00,7,06:19
Singapore,2025-07-01,UL,1194.32,2,0 days 12:25:00,9,12:25
Singapore,2025-07-01,B6,1198.41,2,0 days 06:21:00,1,06:21
Singapore,2025-07-01,B6,1199.69,2,0 days 01:21:00,1,01:21
Singapore,2025-07-01,AS,1199.69,2,0 days 06:15:00,3,06:15
Singapore,2025-07-01,AS,1199.69,2,0 days 06:19:00,7,06:19
Singapore,2025-07-01,B6,1204.54,2,0 days 06:21:00,1,06:21
Singapore,2025-07-01,CX,1214.28,1,0 days 15:40:00,3,15:40
Singapore,2025-07-01,EK,1214.37,1,0 days 12:45:00,9,12:45
Singapore,2025-07-01,AF,1215.69,1,0 days 07:35:00,9,07:35
Singapore,2025-07-01,EY,1252.37,1,0 days 12:55:00,9,12:55
Singapore,2025-07-01,QR,1457.59,2,0 days 02:48:00,9,02:48
Singapore,2025-07-01,6X,1751.87,1,0 days 04:00:00,9,04:00
Singapore,2025-07-01,6X,1751.87,1,0 days 05:50:00,9,05:50
Singapore,2025-07-01,6X,1751.87,1,0 days 06:45:00,9,06:45
Singapore,2025-07-01,LH,2282.54,1,0 days 05:00:00,9,05:00
Singapore,2025-07-01,LX,2598.59,1,0 days 07:55:00,9,07:55
Singapore,2025-07-01,SQ,3100.99,0,0 days 21:55:00,9,21:55
Singapore,2025-07-01,LX,3220.68,1,0 days 07:55:00,9,07:55
Singapore,2025-07-01,SQ,3852.88,0,0 days 19:15:00,9,19:15
Singapore,2025-07-01,EK,3941.37,1,0 days 12:35:00,7,12:35
Singapore,2025-07-01,MH,4095.58,1,0 days 07:15:00,9,07:15
Singapore,2025-07-01,CX,4318.53,1,0 days 15:50:00,9,15:50
Singapore,2025-07-01,SQ,5045.63,1,0 days 07:45:00,9,07:45
Singapore,2025-07-01,CA,5266.4,1,0 days 16:45:00,4,16:45
Singapore,2025-07-01,NH,5511.06,1,0 days 14:00:00,9,14:00
Tel Aviv,2025-07-01,IZ,374.13,0,0 days 11:00:00,3,11:00
Tel Aviv,2025-07-01,UX,518.44,1,0 days 07:05:00,9,07:05
Tel Aviv,2025-07-01,UX,518.44,1,0 days 07:15:00,9,07:15
Tel Aviv,2025-07-01,IB,605.37,1,0 days 07:55:00,4,07:55
Tel Aviv,2025-07-01,B6,651.57,0,0 days 10:20:00,7,10:20
Tel Aviv,2025-07-01,LY,692.03,0,0 days 10:20:00,9,10:20
Tel Aviv,2025-07-01,LY,692.03,0,0 days 10:21:00,9,10:21
Tel Aviv,2025-07-01,HY,750.57,1,0 days 12:00:00,9,12:00
Tel Aviv,2025-07-01,AZ,764.63,1,0 days 08:35:00,9,08:35
Tel Aviv,2025-07-01,AZ,764.63,1,0 days 08:40:00,9,08:40
Tel Aviv,2025-07-01,AC,805.84,1,0 days 01:45:00,9,01:45
Tel Aviv,2025-07-01,SN,848.85,1,0 days 07:30:00,9,07:30
Tel Aviv,2025-07-01,SN,854.28,1,0 days 08:00:00,9,08:00
Tel Aviv,2025-07-01,LH,854.28,1,0 days 08:00:00,9,08:00
Tel Aviv,2025-07-01,LH,864.17,1,0 days 05:00:00,9,05:00
Tel Aviv,2025-07-01,LH,864.17,1,0 days 07:35:00,9,07:35
Tel Aviv,2025-07-01,LH,864.17,1,0 days 07:55:00,9,07:55
Tel Aviv,2025-07-01,SN,864.17,1,0 days 07:35:00,9,07:35
Tel Aviv,2025-07-01,SN,864.17,1,0 days 07:55:00,9,07:55
Tel Aviv,2025-07-01,SN,867.99,2,0 days 08:00:00,9,08:00
Tel Aviv,2025-07-01,AF,870.63,1,0 days 07:35:00,9,07:35
Tel Aviv,2025-07-01,AF,870.63,1,0 days 07:25:00,9,07:25
Tel Aviv,2025-07-01,LO,874.39,1,0 days 08:45:00,9,08:45
Tel Aviv,2025-07-01,TP,904.22,1,0 days 07:00:00,4,07:00
Tel Aviv,2025-07-01,LO,952.39,1,0 days 08:45:00,7,08:45
Tel Aviv,2025-07-01,LO,952.39,1,0 days 08:30:00,7,08:30
Tel Aviv,2025-07-01,AF,956.31,1,0 days 07:15:00,9,07:15
Tel Aviv,2025-07-01,B6,1031.22,2,0 days 01:35:00,4,01:35
Tel Aviv,2025-07-01,EY,1044.37,1,0 days 12:55:00,9,12:55
Tel Aviv,2025-07-01,LO,1107.99,1,0 days 08:30:00,4,08:30
Tel Aviv,2025-07-01,LO,1121.6,2,0 days 08:45:00,4,08:45
Tel Aviv,2025-07-01,KL,1194.11,1,0 days 07:25:00,9,07:25
Tel Aviv,2025-07-01,AF,1194.31,1,0 days 07:35:00,3,07:35
Tel Aviv,2025-07-01,AF,1194.31,1,0 days 07:30:00,9,07:30
Tel Aviv,2025-07-01,KL,1237.51,1,0 days 07:20:00,9,07:20
Tel Aviv,2025-07-01,KL,1237.51,1,0 days 07:25:00,9,07:25
Tel Aviv,2025-07-01,AF,1237.51,1,0 days 07:25:00,9,07:25
Tel Aviv,2025-07-01,AF,1237.51,1,0 days 07:20:00,9,07:20
Tel Aviv,2025-07-01,AF,1324.31,1,0 days 07:35:00,9,07:35
Tel Aviv,2025-07-01,AF,1324.31,1,0 days 07:30:00,9,07:30
Tel Aviv,2025-07-01,AF,1324.31,1,0 days 07:15:00,9,07:15
Tel Aviv,2025-07-01,ET,1355.5,1,0 days 16:45:00,7,16:45
Tel Aviv,2025-07-01,ET,1485.5,1,0 days 16:45:00,7,16:45
Tel Aviv,2025-07-01,IB,1780.93,1,0 days 07:30:00,9,07:30
Tel Aviv,2025-07-01,EK,2856.17,1,0 days 12:35:00,7,12:35
Tel Aviv,2025-07-01,LX,4883.5,1,0 days 07:50:00,9,07:50
Tel Aviv,2025-07-01,KL,5924.3,1,0 days 07:40:00,4,07:40
San Francisco,2025-07-02,B6,79.9,0,0 days 06:35:00,1,06:35
San Francisco,2025-07-02,B6,79.9,0,0 days 06:45:00,1,06:45
San Francisco,2025-07-02,F9,156.03,1,0 days 05:42:00,3,05:42
San Francisco,2025-07-02,F9,156.03,1,0 days 02:55:00,3,02:55
San Francisco,2025-07-02,F9,160.88,1,0 days 04:01:00,3,04:01
San Francisco,2025-07-02,F9,160.88,1,0 days 02:28:00,3,02:28
San Francisco,2025-07-02,F9,160.88,1,0 days 05:42:00,3,05:42
San Francisco,2025-07-02,SY,197.95,1,0 days 03:09:00,9,03:09
San Francisco,2025-07-02,SY,202.8,1,0 days 03:09:00,9,03:09
San Francisco,2025-07-02,AS,255.13,0,0 days 06:28:00,7,06:28
San Francisco,2025-07-02,AS,255.13,0,0 days 06:40:00,7,06:40
San Francisco,2025-07-02,HA,255.13,0,0 days 06:28:00,7,06:28
San Francisco,2025-07-02,B6,262.45,1,0 days 01:28:00,1,01:28
San Francisco,2025-07-02,B6,262.45,1,0 days 01:20:00,1,01:20
San Francisco,2025-07-02,B6,280.2,1,0 days 03:25:00,1,03:25
San Francisco,2025-07-02,B6,280.2,1,0 days 03:24:00,1,03:24
San Francisco,2025-07-02,HA,298.13,0,0 days 06:40:00,7,06:40
San Francisco,2025-07-02,AS,301.35,0,0 days 06:28:00,7,06:28
San Francisco,2025-07-02,AS,312.98,1,0 days 06:15:00,3,06:15
San Francisco,2025-07-02,AS,317.83,1,0 days 06:15:00,3,06:15
San Francisco,2025-07-02,AS,317.83,1,0 days 06:01:00,3,06:01
San Francisco,2025-07-02,AS,323.73,1,0 days 06:01:00,7,06:01
San Francisco,2025-07-02,AS,358.13,1,0 days 06:19:00,7,06:19
San Francisco,2025-07-02,AS,358.13,1,0 days 06:21:00,7,06:21
San Francisco,2025-07-02,AS,358.13,1,0 days 06:25:00,3,06:25
San Francisco,2025-07-02,HA,367.8,1,0 days 06:01:00,7,06:01
San Francisco,2025-07-02,HA,367.8,1,0 days 06:15:00,7,06:15
San Francisco,2025-07-02,HA,401.13,1,0 days 06:19:00,7,06:19
San Francisco,2025-07-02,HA,421.03,1,0 days 06:19:00,7,06:19
San Francisco,2025-07-02,AS,421.03,1,0 days 06:25:00,3,06:25
San Francisco,2025-07-02,AS,429.63,1,0 days 06:21:00,3,06:21
San Francisco,2025-07-02,AS,456.5,1,0 days 06:25:00,3,06:25
San Francisco,2025-07-02,HA,482.3,1,0 days 06:15:00,7,06:15
San Francisco,2025-07-02,AS,633.33,1,0 days 06:19:00,7,06:19
San Francisco,2025-07-02,AS,638.7,1,0 days 06:15:00,7,06:15
San Francisco,2025-07-02,B6,737.6,1,0 days 06:00:00,1,06:00
San Francisco,2025-07-02,B6,738.88,0,0 days 06:15:00,7,06:15
San Francisco,2025-07-02,B6,738.88,0,0 days 06:20:00,7,06:20
San Francisco,2025-07-02,B6,738.88,0,0 days 06:36:00,7,06:36
San Francisco,2025-07-02,B6,738.88,0,0 days 06:43:00,7,06:43
San Francisco,2025-07-02,B6,743.53,1,0 days 01:28:00,1,01:28
San Francisco,2025-07-02,B6,854.78,1,0 days 03:17:00,1,03:17
San Francisco,2025-07-02,B6,859.63,1,0 days 03:00:00,1,03:00
San Francisco,2025-07-02,B6,860.15,1,0 days 01:20:00,1,01:20
San Francisco,2025-07-02,B6,1109.55,1,0 days 01:29:00,1,01:29
San Francisco,2025-07-02,B6,1179.43,1,0 days 01:21:00,7,01:21
San Francisco,2025-07-02,B6,1307.35,1,0 days 05:41:00,1,05:41
San Francisco,2025-07-02,AS,4342.08,1,0 days 02:51:00,3,02:51
San Francisco,2025-07-02,AS,4346.93,1,0 days 02:57:00,3,02:57
London,2025-07-02,A1,213.63,0,0 days 07:00:00,9,07:00
London,2025-07-02,FI,325.35,1,0 days 05:45:00,6,05:45
London,2025-07-02,FI,326.75,1,0 days 05:45:00,7,05:45
London,2025-07-02,FI,341.35,1,0 days 05:50:00,9,05:50
London,2025-07-02,TP,422.82,1,0 days 07:00:00,9,07:00
London,2025-07-02,TP,429.03,1,0 days 07:00:00,9,07:00
London,2025-07-02,AC,448.3,1,0 days 01:36:00,9,01:36
London,2025-07-02,B6,448.49,0,0 days 07:14:00,1,07:14
London,2025-07-02,B6,448.49,0,0 days 07:31:00,1,07:31
London,2025-07-02,AC,454.04,1,0 days 01:46:00,9,01:46
London,2025-07-02,AC,454.04,1,0 days 01:45:00,9,01:45
London,2025-07-02,VS,465.38,1,0 days 07:15:00,9,07:15
London,2025-07-02,VS,465.38,1,0 days 07:30:00,9,07:30
London,2025-07-02,UA,470.83,1,0 days 07:55:00,2,07:55
London,2025-07-02,KL,470.99,0,0 days 07:30:00,9,07:30
London,2025-07-02,UA,471.95,1,0 days 07:30:00,9,07:30
London,2025-07-02,AZ,473.4,1,0 days 08:35:00,9,08:35
London,2025-07-02,AZ,487.68,1,0 days 08:35:00,9,08:35
London,2025-07-02,AZ,487.68,1,0 days 08:40:00,9,08:40
London,2025-07-02,AV,491.57,1,0 days 05:50:00,9,05:50
London,2025-07-02,AV,491.57,1,0 days 05:45:00,9,05:45
London,2025-07-02,FI,499.35,1,0 days 05:50:00,9,05:50
London,2025-07-02,UA,505.3,1,0 days 01:36:00,2,01:36
London,2025-07-02,TP,509.82,2,0 days 01:20:00,4,01:20
London,2025-07-02,S4,520.18,2,0 days 05:50:00,6,05:50
London,2025-07-02,UA,522.32,1,0 days 07:55:00,5,07:55
London,2025-07-02,UA,527.83,1,0 days 07:55:00,7,07:55
London,2025-07-02,UA,527.83,1,0 days 07:35:00,8,07:35
London,2025-07-02,AF,528.88,1,0 days 07:15:00,9,07:15
London,2025-07-02,AF,528.88,1,0 days 07:35:00,9,07:35
London,2025-07-02,AF,528.88,1,0 days 07:25:00,9,07:25
London,2025-07-02,AF,528.88,1,0 days 07:30:00,9,07:30
London,2025-07-02,AS,535.57,0,0 days 06:55:00,3,06:55
London,2025-07-02,AS,535.57,0,0 days 07:00:00,3,07:00
London,2025-07-02,AS,535.57,0,0 days 07:05:00,3,07:05
London,2025-07-02,AS,535.57,0,0 days 07:10:00,3,07:10
London,2025-07-02,AS,535.57,0,0 days 07:15:00,3,07:15
London,2025-07-02,AS,535.57,0,0 days 07:05:00,7,07:05
London,2025-07-02,KL,539.23,1,0 days 07:40:00,9,07:40
London,2025-07-02,KL,539.23,1,0 days 07:20:00,9,07:20
London,2025-07-02,IB,547.49,0,0 days 07:10:00,9,07:10
London,2025-07-02,IB,547.49,0,0 days 07:15:00,9,07:15
London,2025-07-02,AY,552.8,0,0 days 07:05:00,9,07:05
London,2025-07-02,KL,553.51,1,0 days 07:40:00,9,07:40
London,2025-07-02,KL,553.51,1,0 days 07:20:00,9,07:20
London,2025-07-02,6X,563.67,0,0 days 03:58:00,9,03:58
London,2025-07-02,6X,563.67,0,0 days 04:00:00,9,04:00
London,2025-07-02,6X,563.67,0,0 days 05:50:00,9,05:50
London,2025-07-02,6X,563.67,0,0 days 06:45:00,9,06:45
